min_samples_leaf,max_features,n_train,n_validation,rmse_m,mae_m,bias_m,r2
1,0.5,12555,5381,0.060437315502425,0.03140182411616492,0.0017055267641827034,0.8204406417091924
1,sqrt,12555,5381,0.06086157599949738,0.03177887072554679,0.001678418178607971,0.8179108361543023
1,1,12555,5381,0.06357570868304965,0.03286052547239768,0.0009983586033900245,0.8013081134643862
2,0.5,12555,5381,0.06462315029023555,0.03376126672743071,0.001478412448273062,0.7947070836488587
2,sqrt,12555,5381,0.06575935729892932,0.034766866621616176,0.0013140126739196833,0.7874246840363223
4,0.5,12555,5381,0.07112317104980793,0.037943677380888136,0.0010606061655176761,0.7513319799314861
2,1,12555,5381,0.07151173565509732,0.0385420198761718,0.0007524469171227796,0.7486074801744564
4,sqrt,12555,5381,0.0740816926114658,0.040061397229095325,0.0009768324132291048,0.7302139395752958
8,0.5,12555,5381,0.080673003913065,0.044454255532349315,0.0008152599550256053,0.6800705861573075
4,1,12555,5381,0.0828987102237409,0.0468435875730846,0.0007525867460823395,0.6621738524795401
8,sqrt,12555,5381,0.08427798815785605,0.04718727661838173,0.000810199486375998,0.6508387553560744
8,1,12555,5381,0.09452041389321526,0.055040922619347996,0.00037581684661551907,0.560813539748668
