buoy,n_test,rmse_m,mae_m,r2,snow_depth_mean_m
2015C,27,0.07802004124015333,0.06416904016057104,-92.22511476468488,0.18296296296296294
2015B,442,0.08418105833474747,0.07982286162293983,-17.455760493488135,0.06372800402212168
2015A,525,0.0963543322858626,0.06894813228717923,-3.318727153654013,0.15925129908850835
2015I,107,0.1053028533375304,0.10403431750444676,-306.35498735230397,0.03193666902129892
2015J,3130,0.11950629558569911,0.09840401815254998,-1.8304627619971798,0.2078943011525066
2014E,1232,0.13465437335353905,0.11707735068038932,0.06970235870895469,0.27980113636363635
2014F,1685,0.1474631795351625,0.12380769545264692,-4.750764753583702,0.1089057489632674
2015E,286,0.16089130830874734,0.14572434413540078,-1.727161209678619,0.21545454545454548
2014D,631,0.16107812909783542,0.15503300163549172,-11.39111955587097,0.3256818009273281
2014B,538,0.20416105312779248,0.1975316310373149,-40.67836094671853,0.07299256505576207
2015G,946,0.217920551296409,0.16123573925635182,-91.65686182835199,0.18548436000906654
2014C,669,0.272843974979344,0.22610201123088874,-2.149381547519217,0.3321674140508222
2015D,1041,0.3907009856645527,0.2638417566302142,-0.06819266983203276,0.34988962668613327
